name,price,url,timestamp,cpu_name,cpu_score,gpu_name,gpu_score,ram_gb,ssd_gb,combined_score
"MSI Katana 15 HX B14WEK 15.6"" (i7-14650HX/16GB)",1085.89,https://www.skroutz.gr/s/64296260/msi-katana-15-hx-b14wek-15-6-qhd-165hz-i7-14650hx-16gb-512gb-ssd-geforce-rtx-5050-no-os-international-english-keyboard.html,2026-07-05 02:43:57,Intel Core I7-14650HX,0,Integrated Graphics,15,16,0,7.5
"Dell Pro Max 16 Plus MB16250 16"" (Ultra 7-265HX/32GB/1TB)",3759.0,https://www.skroutz.gr/s/63015908/dell-pro-max-16-plus-mb16250-16-fhd-ultra-7-265hx-32gb-1tb-ssd-rtx-pro-1000-blackwell-w11-pro-gr-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 7 265HX,0,Integrated Graphics,15,32,1000,7.5
"Dell Inspiron 7441 Plus 14"" (Snapdragon/16GB/1TB)",765.13,https://www.skroutz.gr/s/67667921/dell-inspiron-7441-plus-14-ips-qhd-touchscreen-snapdragon-x-plus-x1p-64-100-16gb-1tb-ssd-w11-pro-ice-blue-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,1000,4.0
"Lenovo ThinkPad X1 Carbon G13 Aura Edition 14"" (Ultra 7-265U/64GB)",3869.03,https://www.skroutz.gr/s/64295341/lenovo-thinkpad-x1-carbon-g13-aura-edition-14-oled-120hz-ultra-7-265u-64gb-1tb-ssd-w11-pro-uk-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 7 265U,0,Integrated Graphics,15,64,0,7.5
"Lenovo ThinkPad T14s Gen 4 (AMD) 14"" (Ryzen 7 Pro-7840U/16GB/1TB)",1799.0,https://www.skroutz.gr/s/46907742/Lenovo-ThinkPad-T14s-Gen-4-AMD-14-IPS-FHD-Ryzen-7-Pro-7840U-16GB-1TB-SSD-W11-Pro-Thunder-Black-GR-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,1000,4.0
"HP EliteBook Ultra G1q 14"" (Snapdragon-X Elite/32GB/1TB)",1479.64,https://www.skroutz.gr/s/58283128/HP-EliteBook-Ultra-G1q-14-IPS-Touchscreen-Snapdragon-X-Elite-32GB-1TB-SSD-W11-Pro-Atmosphere-Blue-International-English-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,32,1000,4.0
"Lenovo IdeaPad Slim 5 16IAH8 16"" (i5-12450H/8GB/512GB)",799.0,https://www.skroutz.gr/s/45390496/Lenovo-IdeaPad-Slim-5-16IAH8-16-IPS-FHD-i5-12450H-8GB-512GB-SSD-W11-Home-Cloud-Grey-GR-Keyboard.html,2026-07-05 02:43:57,Intel Core i5-12450H,80,Integrated Graphics,15,8,512,47.5
"Lenovo ThinkPad T14s Gen 1 (AMD) 14"" (Ryzen 5 Pro-4650U/8GB/256GB)",1011.17,https://www.skroutz.gr/s/36975924/Lenovo-ThinkPad-T14s-Gen-1-AMD-14-IPS-FHD-Ryzen-5-Pro-4650U-8GB-256GB-SSD-W10-Pro-GR-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,8,256,4.0
"Lenovo ThinkPad T14s Gen 1 (AMD) 14"" (Ryzen 5 Pro-4650U/8GB/256GB)",1037.38,https://www.skroutz.gr/s/36975924/Lenovo-ThinkPad-T14s-Gen-1-AMD-14-IPS-FHD-Ryzen-5-Pro-4650U-8GB-256GB-SSD-W10-Pro-GR-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,8,256,4.0
"Asus ROG Strix SCAR 16 16"" (Ultra 9-275HX/64GB/2TB)",4799.0,https://www.skroutz.gr/s/62722213/asus-rog-strix-scar-16-g635lx-rw103x-16-qhd-ultra-9-275hx-64gb-2tb-ssd-geforce-rtx-5090-w11-pro-gr-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 9 275HX,0,Integrated Graphics,15,64,2000,7.5
"Dell Pro 16 PC16255 16"" (Ryzen 5 Pro)",1063.3,https://www.skroutz.gr/s/66255174/dell-pro-16-pc16255-16-ips-fhd-ryzen-5-pro-8gb-500gb-ssd-radeon-760m-w11-home-international-english-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,0,4.0
"Lenovo ThinkPad X1 Yoga Gen 7 14"" (i7-1265U/16GB/512GB)",1399.9,https://www.skroutz.gr/s/55004646/Lenovo-ThinkPad-X1-Yoga-Gen-7-14-IPS-FHD-Touchscreen-i7-1265U-16GB-512GB-SSD-W11-Pro-Storm-Grey-International-English-Keyboard.html,2026-07-05 02:43:57,Intel Core I7-1265U,0,Integrated Graphics,15,16,512,7.5
"HP EliteBook 645 G9 14"" (Ryzen 7-5825U/16GB/512GB)",989.33,https://www.skroutz.gr/s/55281975/HP-EliteBook-645-G9-14-IPS-FHD-Ryzen-7-5825U-16GB-512GB-SSD-W11-Pro-GR-Keyboard.html,2026-07-05 02:43:57,AMD Ryzen 7 5825U,0,Integrated Graphics,18,16,512,9.0
